LANGUAGE;LABELLED RESOURCE COUNT;UNLABELLED RESOURCE COUNT;SPEAKER_COUNT
eng;1409;63813950;1132366680
spa;526;8478000;480000000
fra;296;13607114;208157220
deu;266;8357823;105000000
zho;390;9719126;1299877520
ita;123;8360190;64819790
ara;288;11135523;422000000
pol;90;3923206;40200000
jpn;108;4323197;128000000
por;89;5955918;254300000
nld;60;4723581;23100000
kor;86;3447343;77300000
vie;61;19515614;76000000
ell;49;727719;15000000
swe;51;6325798;9244250
dan;37;972414;6000000
bul;35;690892;9000000
hbs;42;9700644;19000000
rus;64;8357026;171428900
fin;29;1548626;5413380
ces;47;1604761;10700000
cat;28;1954671;5100000
fas;52;5946921;70000000
nor;24;2272726;5200000
tur;33;3346806;82231620
ron;21;2915426;24300000
tha;32;1153452;40000000
est;16;612220;1251770
heb;15;1607984;9303950
hin;40;1379277;N/A
lav;11;552817;1500000
slk;13;591016;6000000
slv;13;49429;2400000
ukr;17;4958827;34710100
pus;17;7407;50000000
eus;9;1011359;750000
lat;9;289316;N/A
lit;10;556393;4000000
hun;12;1593770;12600000
msa;18;5230460;77000000
mkd;7;586315;2000000
tam;26;601353;75000000
urd;29;2276537;N/A
swa;9;202027;15437390
ben;18;1353480;300000000
cse;4;0;N/A
hau;6;104297;43900000
isl;9;15751;358000
gle;5;11108;1030000
pan;9;188323;N/A
mal;3;545388;37100000
mlt;4;23334;482880
nep;3;133426;24131000
tel;4;395706;82000000
fry;3;17333;845100
afr;2;430674;10300000
amh;6;46428;25000000
aze;2;681917;35000000
guj;2;133533;56400000
sin;2;164972;15300000
sqi;2;316813;6200000
ase;1;0;250000
asm;2;112711;15300000
bre;1;158556;206000
cos;1;17922;151000
epo;1;840074;2000000
glg;1;553891;2500000
gsg;1;0;N/A
kan;2;15632;43600000
kas;1;18514;6900000
kha;1;0;865000
mni;1;17351;1470000
mar;1;321579;83100000
mon;2;11201;7000000
sme;1;21012;25700
ori;1;84304;N/A
orm;2;5411;36000000
rom;1;2843;46000000
gla;2;3246;60130
sid;1;0;1800000
som;3;26221;16200000
tir;5;307;7507780
uig;2;16927;10400000
uzb;5;1112661;27000000
cym;1;528493;977366
yor;3;60211;40000000
tgl;8;247202;45000000
lao;7;15565;5225552
kat;6;511334;3700000
khm;3;36556;16600000
hat;3;92167;9600000
ceb;3;11229925;15900000
ybb;2;0;N/A
enm;2;0;N/A
zul;2;26004;15700000
kur;2;536236;21000000
lah;2;167248;N/A
kaz;2;652141;13161980
mxx;1;0;N/A
grn;1;13981;4850000
fil;1;0;N/A
fao;1;41083;69150
bod;1;20405;1200000
trf;1;0;N/A
tpi;1;5785;4000000
ibo;1;58931;27000000
bam;1;3335;2700000
wol;1;555;3700000
nhi;1;0;N/A
azz;1;0;N/A
luo;1;0;3000000
luq;1;0;N/A
man;1;0;N/A
jgo;1;0;63000
kmj;1;0;N/A
kin;1;1669;12100000
jav;1;48949;84308740
san;1;80472;N/A
mjt;1;0;N/A
gul;1;0;N/A
mkb;1;0;N/A
aka;1;12729;11000000
abk;0;32166;190110
ace;0;27902;N/A
ady;0;4502;575900
gsw;0;74497;N/A
ami;0;2238;N/A
anp;0;5101;N/A
arg;0;178537;20000
rki;0;1044;765000
syr;0;6565;N/A
hye;0;1182339;6700000
rup;0;4616;112960
frp;0;17913;227000
ast;0;244909;450000
tay;0;3239;80000
atj;0;3279;6160
ava;0;18157;766500
awa;0;5826;22000000
aym;0;8889;4000000
ban;0;64835;4000000
bak;0;183772;1200000
btm;0;2638;1100000
bbc;0;2155;2000000
bar;0;110462;14100000
bel;0;978432;7900000
bew;0;7275;N/A
bho;0;80037;52200000
bpy;0;63464;117500
bis;0;3449;10000
bug;0;20461;5017800
mya;0;256744;32900000
bik;0;49334;N/A
duw;0;6951;N/A
kau;0;2229;15000000
cha;0;2583;64300
cbk;0;8983;N/A
che;0;1192362;1393900
chr;0;4064;12300
chy;0;2283;2400
chu;0;5877;N/A
chv;0;119992;1279650
ksh;0;10734;N/A
cor;0;14754;600
cre;0;2337;10875
crh;0;57258;552740
dag;0;24115;3160000
zza;0;63814;1640000
din;0;1127;1365900
div;0;12527;340500
dzo;0;5036;237080
chm;0;52024;470000
egl;0;36356;1300000
myv;0;31296;96860
ewe;0;4188;3000000
ext;0;8949;201500
hif;0;53687;380000
fij;0;4271;341270
fon;0;4159;1935500
gur;0;2507;820000
fur;0;1109;300000
ful;0;24935;24000000
gag;0;7819;148720
lug;0;7902;4100000
gpe;0;19929;5000000
glk;0;57235;3000000
kok;0;8889;7400000
gor;0;23223;1000000
got;0;3915;N/A
gcr;0;2669;300000
guw;0;2747;1539000
haw;0;6166;27200
iba;0;4402;2300000
ido;0;80137;N/A
igl;0;1293;N/A
ilo;0;70493;9100000
smn;0;27257;300
inh;0;15801;322900
ina;0;45623;N/A
ile;0;1754;N/A
iku;0;2992;39770
ipk;0;287;5580
jam;0;3133;3200000
kbd;0;711;1600000
kbp;0;3447;1000000
kab;0;17884;5586000
kal;0;229;56200
xal;0;12343;780000
krc;0;16578;310400
kaa;0;24127;583410
csb;0;8872;108000
kik;0;3767;6623000
kge;0;4206;N/A
kom;0;20878;219100
kon;0;4008;5016500
avk;0;36337;N/A
kus;0;1771;N/A
kir;0;109795;4568480
lld;0;187796;30000
lad;0;13555;137000
lbe;0;16082;154820
lez;0;14779;633610
lij;0;27929;500000
lim;0;68572;1600000
lin;0;11399;2000000
lfn;0;7146;N/A
olo;0;13722;30770
jbo;0;5804;N/A
lmo;0;151007;3900000
nds;0;205483;5000000
dsb;0;11624;6670
ltz;0;142928;391200
mad;0;10985;15000000
mai;0;44765;33900000
mlg;0;257741;18138380
glv;0;3658;12350
mri;0;15393;160000
mzn;0;106414;3270000
xmf;0;4129;345530
mwl;0;10738;15000
mdf;0;23495;2025
mnw;0;6777;850000
mos;0;2074;7600000
nqo;0;337;N/A
nhe;0;13408;N/A
nav;0;37316;169369
nap;0;43048;7500000
new;0;166542;1000000
nia;0;4449;825768
pcm;0;2737;47500000
nrf;0;10679;N/A
frr;0;50819;10000
nso;0;11463;4100000
nov;0;4812;N/A
nup;0;891;800000
nya;0;5385;12000000
ann;0;888;N/A
oci;0;165912;542000
ang;0;20542;N/A
oss;0;75909;599250
pwn;0;631;N/A
pfl;0;7058;1000000
pli;0;4495;N/A
pam;0;23213;N/A
pag;0;6721;1100000
rsk;0;1945;N/A
blk;0;8417;N/A
pap;0;10102;321300
pdc;0;6031;148000
pcd;0;11961;700000
pms;0;106468;2000000
pnt;0;2106;778000
que;0;58171;8900000
roh;0;9753;40039
run;0;2727;10800000
bua;0;1128;329000
rue;0;22268;610000
szy;0;621;958
smo;0;6138;415720
sgs;0;30043;500000
sag;0;2065;4600000
sat;0;28926;6000000
srd;0;17462;1300000
stq;0;10814;1000
sco;0;138205;1500000
shn;0;3325;3000000
sna;0;20487;9023000
scn;0;55848;4700000
szl;0;75368;522000
snd;0;67894;25000000
nbl;0;627;640000
alt;0;6906;55720
dga;0;5858;1100000
sot;0;5328;6000000
srn;0;2732;415700
zgh;0;31164;N/A
sun;0;99435;32400000
ssw;0;3462;2034200
syl;0;5018;13980000
shi;0;14942;8000000
tah;0;3076;68000
tdd;0;1706;650000
tgk;0;283103;14000000
tly;0;13265;1000000
trv;0;2212;20000
tat;0;833205;5427318
tet;0;3952;463500
tig;0;469;800000
ton;0;5513;186010
tso;0;4235;13000000
tsn;0;6505;4500000
tcy;0;15514;2000000
tum;0;3913;2680000
tuk;0;17272;16000000
tyv;0;13954;297000
kcg;0;6196;N/A
udm;0;19941;340530
hsb;0;36142;13300
ven;0;2415;1064000
vec;0;143216;2000000
vep;0;37679;1640
vol;0;161665;N/A
wln;0;30398;600000
war;0;2870487;3100000
guc;0;1311;N/A
bdr;0;1367;210000
vls;0;22323;1400000
hyw;0;27797;1395240
xho;0;5544;11000000
sah;0;53515;450000
yid;0;44342;11000000
zea;0;13172;220000
zha;0;5567;16000000
