full language name,Cluster
english,5
spanish,5
french,5
german,5
chinese,5
italian,5
arabic,5
polish,5
japanese,5
portuguese,5
dutch,5
korean,5
vietnamese,5
modern greek,4
swedish,5
danish,4
bulgarian,4
serbo-croatian,5
russian,5
finnish,4
czech,4
catalan,4
persian,5
norwegian,4
turkish,4
romanian,4
thai,4
estonian,4
hebrew,4
hindi,4
latvian,4
slovak,4
slovenian,2
ukrainian,4
pushto,2
basque,4
latin,4
lithuanian,4
hungarian,4
malay,4
macedonian,4
tamil,4
urdu,4
swahili,3
bengali,4
czech sign language,0
hausa,3
icelandic,2
irish,2
panjabi,3
malayalam,3
maltese,2
nepali,3
telugu,3
western frisian,2
afrikaans,3
amharic,2
azerbaijani,3
gujarati,3
sinhala,3
albanian,3
american sign language,0
assamese,3
breton,3
corsican,2
esperanto,3
galician,3
german sign language,0
kannada,2
kashmiri,2
khasi,0
manipuri,2
marathi,3
mongolian,2
northern sami,2
oriya,3
oromo,1
romany,1
scottish gaelic,1
sidamo,0
somali,2
tigrinya,1
uighur,2
uzbek,4
welsh,3
yoruba,2
tagalog,3
lao,2
georgian,4
khmer,2
haitian,3
cebuano,4
yemba,0
middle english,0
zulu,2
kurdish,3
lahnda,3
kazakh,3
mahou,0
guarani,2
filipino,0
faroese,2
tibetan,2
trinidadian creole english,0
tok pisin,1
igbo,2
bambara,1
wolof,1
zacatlán-ahuacatlán-tepetzintla nahuatl,0
highland puebla nahuatl,0
luo,0
lucumi,0
mandingo,0
ngomba,0
kumarbhag paharia,0
kinyarwanda,1
javanese,2
sanskrit,3
sauria paharia,0
sea island creole english,0
mal paharia,0
akan,2
abkhazian,2
achinese,2
adyghe,1
swiss german,3
amis,1
angika,1
aragonese,3
rakhine,1
syriac,1
armenian,3
macedo-romanian,1
arpitan,2
asturian,3
atayal,1
atikamekw,1
avaric,2
awadhi,1
aymara,2
balinese,2
bashkir,3
batak mandailing,1
batak toba,1
bavarian,3
belarusian,3
betawi,1
bhojpuri,3
bishnupriya,2
bislama,1
buginese,2
burmese,3
bikol,2
dusun witu,1
kanuri,1
chamorro,1
chavacano,2
chechen,3
cherokee,1
cheyenne,1
church slavic,1
chuvash,3
kölsch,2
cornish,2
cree,1
crimean tatar,2
dagbani,2
zaza,2
dinka,1
divehi,2
dzongkha,1
mari,2
emilian,2
erzya,2
ewe,1
extremaduran,2
fiji hindi,2
fijian,1
fon,1
farefare,1
friulian,1
fulah,2
gagauz,1
ganda,1
ghanaian pidgin english,2
gilaki,2
konkani,2
gorontalo,2
gothic,1
guianese creole french,1
gun,1
hawaiian,1
iban,1
ido,3
igala,1
iloko,2
inari sami,2
ingush,2
interlingua,2
interlingue,1
inuktitut,1
inupiaq,1
jamaican creole english,1
kabardian,1
kabiyè,1
kabyle,2
kalaallisut,1
kalmyk,2
karachay-balkar,2
kara-kalpak,2
kashubian,2
kikuyu,1
komering,1
komi,2
kongo,1
kotava,2
kusaal,1
kirghiz,3
ladin,3
ladino,2
lak,2
lezghian,2
ligurian,2
limburgan,2
lingala,2
lingua franca nova,1
livvi,2
lojban,1
lombard,3
low german,3
lower sorbian,2
luxembourgish,3
madurese,2
maithili,2
malagasy,3
manx,1
maori,2
mazanderani,3
mingrelian,1
mirandese,2
moksha,2
mon,1
mossi,1
n'ko,1
eastern huasteca nahuatl,2
navajo,2
neapolitan,2
nepal bhasa,3
nias,1
nigerian pidgin,1
jèrriais,2
northern frisian,2
pedi,2
novial,1
nupe-nupe-tako,1
chichewa,1
obolo,1
occitan,3
old english,2
ossetian,3
paiwan,1
pfaelzisch,1
pali,1
pampanga,2
pangasinan,1
ruthenian,1
pa'o karen,2
papiamento,2
pennsylvania german,1
picard,2
piemontese,3
pontic,1
quechua,2
romansh,2
rundi,1
buriat,1
rusyn,2
sakizaya,1
samoan,1
samogitian,2
sango,1
santali,2
sardinian,2
saterfriesisch,2
scots,3
shan,1
shona,2
sicilian,2
silesian,3
sindhi,2
south ndebele,1
southern altai,1
southern dagaare,1
southern sotho,1
sranan tongo,1
standard moroccan tamazight,2
sundanese,3
swati,1
sylheti,1
tachelhit,2
tahitian,1
tai nüa,1
tajik,3
talysh,2
sediq,1
tatar,3
tetum,1
tigre,1
tonga,1
tsonga,1
tswana,1
tulu,2
tumbuka,1
turkmen,2
tuvinian,2
tyap,1
udmurt,2
upper sorbian,2
venda,1
venetian,3
veps,2
volapük,3
walloon,2
waray,3
wayuu,1
west coast bajau,1
vlaams,2
western armenian,2
xhosa,1
yakut,2
yiddish,2
zeeuws,2
zhuang,1